"Country Name","Series Name","Employment Ratio","GDP","Gini Coefficient","Annual Inflation","Annual GHG Emissions","Annual PM2.5 Exposure","Natural Disasters","Died","Died per 100K","Died Cancer","Died Cancer per 100K","Died Lower Resp","Died Lower Resp per 100K","Life Expectancy"
"Canada",1900,,,,,185873600,,,,,,,,,
"Canada",1901,,,,,200461040,,,,,,,,,48.634
"Canada",1902,,,,,212261380,,,,,,,,,
"Canada",1903,,,,,222468100,,1,,,,,,,
"Canada",1904,,,,,237230030,,,,,,,,,
"Canada",1905,,,,,248497570,,1,,,,,,,
"Canada",1906,,,,,258599440,,,,,,,,,
"Canada",1907,,,,,273162700,,,,,,,,,
"Canada",1908,,,,,279439460,,1,,,,,,,
"Canada",1909,,,,,288918370,,,,,,,,,
"Canada",1910,,,,,303234620,,1,,,,,,,
"Canada",1911,,,,,317172380,,1,,,,,,,52.511
"Canada",1912,,,,,327205400,,1,,,,,,,
"Canada",1913,,,,,344767300,,,,,,,,,
"Canada",1914,,,,,338376500,,,,,,,,,
"Canada",1915,,,,,338884300,,1,,,,,,,
"Canada",1916,,,,,355952400,,,,,,,,,
"Canada",1917,,,,,365148500,,,,,,,,,
"Canada",1918,,,,,379471600,,1,,,,,,,
"Canada",1919,,,,,364144030,,,,,,,,,
"Canada",1920,,,,,363122200,,,,,,,,,
"Canada",1921,,,,,351086430,,,,,,,,,57.1
"Canada",1922,,,,,337229760,,1,,,,,,,57.08
"Canada",1923,,,,,365629200,,,,,,,,,56.96
"Canada",1924,,,,,344302700,,,,,,,,,58.75
"Canada",1925,,,,,342188320,,,,,,,,,59.26
"Canada",1926,,,,,352561280,,,,,,,,,57.95
"Canada",1927,,,,,360948500,,,,,,,,,58.61
"Canada",1928,,,,,361125000,,1,,,,,,,58.55
"Canada",1929,,,,,363996480,,,,,,,,,57.94
"Canada",1930,,,,,367180930,,,,,,,,,58.96
"Canada",1931,,,,,354861900,,1,,,,,,,60.27
"Canada",1932,,,,,344514270,,,,,,,,,61.34
"Canada",1933,,,,,344658050,,,,,,,,,62.28
"Canada",1934,,,,,359505020,,,,,,,,,62.62
"Canada",1935,,,,,361755230,,,,,,,,,62.4
"Canada",1936,,,,,368021540,,1,,,,,,,62.65
