EmploymentRatio,GDP,InequalityIndex,AnnualInflation,AnnualGHGEmissions,NaturalDisasters,Died,DiedPer100K,DiedCancer,DiedCancerPer100K,DiedLowerResp,DiedLowerRespPer100K,LifeExpectancy
56.1,40563768946.95,0.3760505,1.358695652,499794780,0,139693,784.1753677,23181,130.1279892,6030,33.84978107,70.9758
56.1,13040000000.00,0.3760505,4.927518869,222010990,0,402545,1065.727265,12516,33.13577974,61812,163.6456389,55.0168
56.1,541988586206.90,0.3760505,1.457975986,3704502300,2,1711982,954.6907483,267627,149.2428197,67973,37.90530171,69.8132
55.8,41038192837.90,0.3760505,1.018766756,492325980,1,140985,773.0161254,23650,129.6721734,5696,31.23098096,71.2185
55.8,14160000000.00,0.3760505,1.608759691,202288910,1,388857,997.9377949,12864,33.01334885,58586,150.3513725,55.8315
55.4,561940310344.83,0.3760505,1.070724148,3641309000,2,1701522,929.503925,273502,149.4081079,56206,30.70409763,70.2385
55.5,42336211555.83,0.3760505,1.061571125,498361900,1,143699,773.823371,24519,132.0355412,5934,31.95476575,71.24
55.5,15200000000.00,0.3760505,1.198984178,192060780,1,378104,940.6667478,13168,32.76003358,55360,137.7274802,56.5985
55.5,603639413793.10,0.3760505,1.198773348,3817338000,3,1756720,945.037092,278562,149.8539451,61113,32.8760712,70.1035
55.5,45140337826.99,0.3760505,1.628151261,508455040,0,147367,779.8846317,25077,132.7106266,7055,37.33594412,71.2699
55.5,16960000000.00,0.3760505,0.594055008,191680590,0,412833,995.6811682,14136,34.09356566,68583,165.4102302,57.3102
55.4,637058551724.14,0.3760505,1.239669421,3926235600,3,1813549,961.2943066,285362,151.2596935,71900,38.11149335,69.9321
55.6,49503663836.37,0.37874901,1.912144703,533391600,0,145850,758.2531843,25637,133.2830777,5356,27.84507408,71.6424
55.6,20080000000.00,0.37874901,2.337903172,197755870,1,408275,954.5585698,14933,34.91377901,60147,140.6253978,57.947
55.7,684144620689.66,0.38144752,1.278911565,4070473000,6,1798051,939.5629432,289577,151.3170752,60449,31.58733559,70.1896
56,54649410478.52,0.37823464,2.332657201,538765950,1,148939,761.0188544,26050,133.1051045,5662,28.93056052,71.7518
56,21840000000.00,0.37823464,3.568038657,198572300,1,404163,915.9739518,15440,34.99241102,60238,136.5202626,58.4992
